keys,pt_BR,en
BAIXADOR_SEM_RESPOSTA,O servidor não respondeu a tempo,The server did not answer in time
BAIXADOR_FALHA,Download falhou (resultado %d),Download failed (result %d)
BAIXADOR_SEM_CORE_PARA,Não sei que core buscar para %s,I don't know which core to fetch for %s
BAIXADOR_ZIP_INVALIDO,O arquivo baixado não é um zip válido,The downloaded file is not a valid zip
BAIXADOR_ZIP_SEM_SO,O zip não traz %s dentro,The zip does not contain %s
BAIXADOR_SO_VAZIO,%s veio vazio do zip,%s came out of the zip empty
BAIXADOR_SEM_ESCRITA,Não consegui escrever em %s,Could not write to %s
BAIXADOR_SEM_MOVER,Não consegui pôr o core em %s,Could not put the core in %s
BAIXADOR_SERVIDOR,Servidor respondeu %d para %s,Server answered %d for %s
BAIXADOR_CANCELADO,Cancelado,Canceled
EMU_SEM_ROM_INFORMADA,Nenhuma ROM informada,No ROM given
EMU_SEM_CORE_CARREGADO,Sem core carregado,No core loaded
EMU_SEM_CORE_PARA,Sem core para %s,No core for %s
EMU_FALTA_CORE,Falta o core %s,Missing core %s
EMU_FALTA_CORE_EM,Falta %s em %s,Missing %s in %s
EMU_FALHA_CARREGAR_ROM,Falha ao carregar a ROM: %s,Failed to load the ROM: %s
EMU_FALHA_CARREGAR_CORE,Falha ao carregar o core: %s,Failed to load the core: %s
XR_SEM_ROM_AJUDA,Sem ROM. Segure o botão de menu para escolher uma.,No ROM. Hold the menu button to pick one.
TELA_PRE_PORTATIL,Portátil,Handheld
TELA_PRE_TV,TV,TV
TELA_PRE_CINEMA,Cinema,Cinema
VIDEO_FILTRO_NITIDO,Nítido,Sharp
VIDEO_FILTRO_SUAVE,Suave,Smooth
VIDEO_ASPECTO_NATIVA,Nativa,Native
SALA_VAZIO,Vazio,Empty
SALA_FLIPERAMA,Fliperama,Arcade
SALA_PASSTHROUGH,Passthrough,Passthrough
SALA_VAZIO_DESC,"só a tela, o resto no escuro","just the screen, everything else dark"
SALA_FLIPERAMA_DESC,um salão de arcade em volta,an arcade hall around you
SALA_PASSTHROUGH_DESC,"o seu quarto, pelas câmeras do headset","your own room, through the headset cameras"
INPUT_MAO,Mão que aponta,Pointing hand
INPUT_MAO_DESC,caneta do DS e laser do menu,DS stylus and menu laser
INPUT_MAO_DIR,Direita,Right
INPUT_MAO_ESQ,Esquerda,Left
